9/16/2016,5:35 PM,Reiser,experiment,
9/16/2016,6:00 PM,depart,,
9/18/2016,8:00 AM,XZ Setup,,20160830_102_20X_XZ_error
9/18/2016,10:00 AM,lunch,,
9/18/2016,8:40 PM,XZ Setup,,20160830_102_20X_XZ_2
9/18/2016,9:50 PM,depart,,
9/19/2016,7:45 AM,XZ Post,,20160830_102_20X_XZ_2
9/19/2016,8:48 AM,PTR Chores,email; calendar,
9/19/2016,9:10 AM,Other Imaging,scheduler,
9/19/2016,10:00 AM,lunch,,
9/19/2016,1:00 PM,Nitabach,PySolo Video & Acquire,
9/19/2016,1:40 PM,Reiser,analysis,
9/19/2016,2:00 PM,Other Imaging,scheduler,
9/19/2016,2:50 PM,Reiser,discussion w/Jessica,
9/19/2016,3:08 PM,Reiser,crosses,
9/19/2016,4:40 PM,Other Imaging,PTR-IHC Smartsheet,
9/19/2016,5:35 PM,XZ prep,,20160830_101_20X_XZ_2
9/19/2016,5:45 PM,XZ prep,,20160830_102_20X_XZ_3
9/19/2016,6:00 PM,lunch,,
9/19/2016,7:30 PM,XZ Setup,,20160830_101_20X_XZ_2
9/19/2016,8:05 PM,lunch,,
9/19/2016,9:40 PM,XZ Setup,,20160830_102_20X_XZ_3
9/19/2016,10:16 PM,depart,,
9/20/2016,8:00 AM,XZ Post,,20160830_102_20X_XZ_3
9/20/2016,8:20 AM,XZ Post,,20160830_101_20X_XZ_2
9/20/2016,8:40 AM,XZ Post,,20160830_102_20X_XZ_3
9/20/2016,9:05 AM,XZ Post,,20160830_102_20X_XZ_error
9/20/2016,9:25 AM,PTR Chores,email; calendar,
9/20/2016,9:34 AM,Other Imaging,PTR-IHC Smartsheet,20160819_100_20X_SH
9/20/2016,9:36 AM,Other Imaging,PTR-IHC Smartsheet,20160830_101_20X_XZ_2
9/20/2016,9:51 AM,PTR Chores,chargebacks,
9/20/2016,10:15 AM,Other Imaging,PTR-IHC Smartsheet,20160830_101_20X_XZ_2
9/20/2016,10:25 AM,Other Imaging,PTR-IHC Smartsheet,20160811_100_20X_SH
9/20/2016,10:51 AM,Other Imaging,tdTomato Test,20160908_100_20X_GI
9/20/2016,11:10 AM,Other Imaging,PTR-IHC Smartsheet,20160830_102_20X_XZ_1
9/20/2016,11:50 AM,lunch,,
9/20/2016,12:20 PM,GI Meeting,QC before/after lens clean,
9/20/2016,12:30 PM,Reiser,analysis,
9/20/2016,2:32 PM,SH Prep,,20160816_100_20X_SH_2
9/20/2016,3:00 PM,SH Setup,,20160816_100_20X_SH_2
9/20/2016,4:23 PM,PTR Chores,chargebacks,
9/20/2016,5:23 PM,depart,,
9/21/2016,8:00 AM,SH Post,,20160816_100_20X_SH_2
9/21/2016,9:00 AM,PTR Chores,email; calendar,
9/21/2016,9:15 AM,PTR Chores,PTR-IHC mtg prep & filing & disk space,
9/21/2016,9:40 AM,SH Post,,20160816_100_20X_SH_2
9/21/2016,10:00 AM,Nitabach,pysolo,
9/21/2016,10:05 AM,GI Meeting,QC,
9/21/2016,10:30 AM,Nitabach,,
9/21/2016,11:35 AM,lunch,,
9/21/2016,12:05 PM,Nitabach,time conversion pgm,
9/21/2016,1:45 PM,Group Meeting,PTR-IHC meeting,
9/21/2016,2:42 PM,Nitabach,,
9/21/2016,2:52 PM,Reiser,sort,
9/21/2016,3:41 PM,Reiser,renaming experiments,
9/21/2016,4:00 PM,GI Meeting,DAM analysis,
9/21/2016,4:30 PM,Reiser,renaming experiments,
9/21/2016,4:50 PM,Nitabach,SCAMP errors,
9/21/2016,5:15 PM,depart,,
9/22/2016,10:24 AM,PTR Chores,email; calendar,
9/22/2016,10:30 AM,Nitabach,scamp,
9/22/2016,10:35 AM,Reiser,renaming experiments,
9/22/2016,10:51 AM,sh prep,,20160819_100_20X_SH_2
9/22/2016,11:10 AM,Nitabach,scamp,
9/22/2016,11:45 AM,lunch,,
9/22/2016,12:15 PM,SH Prep,,20160819_100_20X_SH_2
9/22/2016,1:15 PM,PTR Chores,science bite,
9/22/2016,1:55 PM,GI Meeting,,
9/22/2016,2:30 PM,Other Imaging,update slidemap collection,
9/22/2016,3:00 PM,SH Setup,,20160819_100_20X_SH_2
9/22/2016,5:00 PM,depart,,
9/23/2016,7:45 AM,SH Post,,20160819_100_20X_SH_2
9/23/2016,7:50 AM,PTR Chores,chargebacks,
9/23/2016,8:12 AM,Other Imaging,w/GI - mab gfp & rabbit sndwch,
9/23/2016,8:47 AM,PTR Chores,email; calendar,
9/23/2016,9:50 AM,Other Imaging,dirty objective timeline,
9/23/2016,9:53 AM,Other Imaging,disk space reports,
9/23/2016,10:45 AM,GI Meeting,,
9/23/2016,11:30 AM,lunch,,
9/23/2016,12:00 PM,Reiser,experiment,
9/23/2016,3:45 PM,PTR Chores,chargebacks,
9/23/2016,5:00 PM,depart,,
9/24/2016,10:00 AM,XZ Setup,,20160830_100_20X_XZ_2
9/24/2016,11:30 AM,lunch,,
9/24/2016,3:10 PM,DAM,Billy's Code,
9/24/2016,3:35 PM,XZ Setup,,20160830_102_20X_XZ_4
9/24/2016,3:59 PM,XZ Setup,,20160630_100_20X_XZ
9/24/2016,5:25 PM,lunch,,
9/24/2016,10:15 PM,XZ Post,remove slide,20160630_100_20X_XZ
9/24/2016,10:30 PM,depart,,
9/26/2016,9:00 AM,PTR Chores,email; calendars,
9/26/2016,9:20 AM,SH Post,PTR-IHC Spreadsheet,20160816_100_20X_SH_2
9/26/2016,9:40 AM,SH Post,PTR-IHC Spreadsheet,20160819_100_20X_SH
9/26/2016,9:55 AM,SH Post,bad run,20160819_100_20X_SH_2
9/26/2016,10:25 AM,XZ Post,,20160830_100_20X_XZ_2
9/26/2016,10:50 AM,XZ Post,,20160630_100_20X_XZ_1
9/26/2016,11:30 AM,XZ Post,,20160830_102_20X_XZ
9/26/2016,11:45 AM,lunch,,
9/26/2016,12:15 PM,XZ Post,,20160830_100_20X_XZ_2
9/26/2016,1:00 PM,Group Meeting,team,
9/26/2016,1:45 PM,SH Prep,,20160816_100_20X_SH_2
9/26/2016,1:55 PM,Reiser,cross,
9/26/2016,3:00 PM,SH Prep,,20160819_100_20X_SH_3
9/26/2016,3:30 PM,SH Setup,,20160819_100_20X_SH_3
9/26/2016,5:00 PM,depart,,
9/27/2016,8:00 AM,SH Post,,20160819_100_20X_SH_3
9/27/2016,8:05 AM,PTR Chores,email; calendars,
9/27/2016,8:10 AM,Other Imaging,schedule adjustments,
9/27/2016,8:43 AM,Reiser,renaming files,
9/27/2016,10:00 AM,SH Prep,,20160915_101_20X_SH
9/27/2016,10:30 AM,SH Post,,20160819_100_20X_SH_3
9/27/2016,10:54 AM,SH Post,renaming files,20160819_100_20X_SH_3
9/27/2016,10:59 AM,SH Post,,20160819_100_20X_SH_3
9/27/2016,11:30 AM,lunch,,
9/27/2016,12:00 PM,PTR Chores,chargebacks,
